,loss_crab_t,fid_crab_t,inf_crab_t
229,0.04822183704107557,0.9760346550099399,-1.6204163147964998
230,0.05819978273053295,0.9711118008509257,-1.5392795306375193
231,0.061117355533399934,0.9696750092082136,-1.5181993223353205
232,0.04790405070081946,0.9761914716139255,-1.6232674476677307
233,0.06399476265427766,0.9682583733070158,-1.4983708203132415
234,0.04748604319419486,0.9763980173530777,-1.6270515132819607
235,0.04782778237172593,0.9762289043672912,-1.623950800759249
236,0.05478962328307817,0.9727928068039617,-1.5653162594825587
237,0.04611636707838745,0.9770748119002176,-1.6396870922833544
238,0.0521295010572097,0.974105359994666,-1.5867901222897909
239,0.05122582288265354,0.9745510715882,-1.5943304999535508
240,0.05300275748640717,0.9736740875244222,-1.5796165669139668
241,0.04558920848806697,0.9773352731239233,-1.6446495100898497
242,0.05748050331360827,0.9714662386690448,-1.5446409757103343
243,0.044904784611321066,0.9776737994561268,-1.6511851785509108
244,0.04266041386973695,0.9787837304197204,-1.673330974964422
245,0.0525930767730343,0.9738762289506244,-1.582964131082944
246,0.045222173248287804,0.9775168871698385,-1.6481435600348104
247,0.0504475354311477,0.9749352744055885,-1.6009370456284346
248,0.04477800855705057,0.9777365494070052,-1.6524075238575708
249,0.051285461149541675,0.9745218529360947,-1.5938321598995904
250,0.04486528111397515,0.9776932079232453,-1.6515628807934972
251,0.047133680141342726,0.9765720447869105,-1.630265614878271
252,0.04510090252073401,0.9775763292359743,-1.6492932917379841
253,0.04865085617518177,0.9758224839574166,-1.6165883198694924
254,0.044161157886050954,0.978040978824338,-1.6583870224861992
255,0.04732699414536302,0.97647656456,-1.6284992521672488
256,0.045542622042265335,0.9773581927610872,-1.645088911292834
257,0.0462932200061673,0.9769875887758989,-1.6380378738798842
258,0.06246695567543885,0.9690104858319852,-1.5087852322732764
259,0.04260853382435552,0.9788093696610795,-1.6738561245235923
260,0.04947636266398044,0.9754150316987268,-1.6093303473327785
261,0.043802046784349825,0.978218819304902,-1.6619185820886109
262,0.054282020216375425,0.973043149623913,-1.5693308519064748
263,0.043298256643243986,0.978467991036194,-1.6669154480589001
264,0.04756889641822676,0.9763571821913962,-1.6263007644320888
265,0.043812379732905186,0.9782136951300953,-1.6618164232963715
266,0.045538306904420664,0.9773604807813256,-1.6451328002264252
267,0.04552590165300076,0.9773664090751322,-1.645246537731705
268,0.042492796443661704,0.9788665756024013,-1.675030125451996
269,0.04212096841761364,0.9790505323245331,-1.678827007950406
270,0.04650399779074102,0.9768832031941832,-1.6360723443836527
271,0.04306407699359067,0.9785840727672905,-1.6692631174695376
272,0.04995387227735484,0.97517933952582,-1.6051866661702714
273,0.0426657029552116,0.9787806946948087,-1.6732688384865462
274,0.04332699626663094,0.9784541261842933,-1.6666358879462726
275,0.0419839626311196,0.9791183425427725,-1.6802350326832087
276,0.04354065239777809,0.9783480852097557,-1.6645036907163688
277,0.04833973061736582,0.9759761823969433,-1.6193579781070562
278,0.04258071520112241,0.9788230832995992,-1.6741372716826863
279,0.03941147096401124,0.9803914736113737,-1.707555043014279
280,0.037215522885340496,0.9814786698442283,-1.7323278265867252
281,0.041729352212456425,0.9792440973873751,-1.6828583756962672
282,0.042051978123552894,0.9790847362156478,-1.6795366537050993
283,0.04049835333348726,0.9798536074345416,-1.6958027077945037
284,0.04075721496996507,0.9797252374197778,-1.693044222724851
285,0.038925642999842316,0.9806321168726742,-1.7129178442453101
286,0.04229173412137826,0.9789658834654051,-1.6770757243034125
287,0.03833525401360162,0.9809243950278246,-1.7195216797473318
288,0.03773934358455937,0.9812191249140679,-1.7262841758538618
289,0.04345607252911879,0.9783900052641507,-1.665345338909996
290,0.04108168376168207,0.9795646376406647,-1.6896176569851975
291,0.04390499747951131,0.9781677383607803,-1.6609012726941283
292,0.04091764167365468,0.979645961369754,-1.691349405563592
293,0.037809580690644946,0.9811846139615151,-1.7254868667587395
294,0.040095378874979305,0.9800529033660824,-1.7001203083797056
295,0.04177176084006865,0.979223092339884,-1.6824190903729126
296,0.04793931352661622,0.9761739221264195,-1.6229474430942756
297,0.03987652618184105,0.9801610741908485,-1.702481846687267
298,0.0382483739138524,0.9809675360536965,-1.720504984229318
299,0.036740007774829796,0.9817145361342645,-1.7378940180016822
