episode,total_reward,fidelity,log_infidelity,avg_fidelity,control_pulse_params,time_step
4293,103.24421214602548,0.09555641308273732,0.04361851631615522,0.39703760872182486,"[{'omega': -2.0, 'delta': -2.0}]",1
4294,115.34870812495929,0.6546448372146899,0.46173404725183453,0.7697632248097932,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -1.9976089}, {'omega': -2.0, 'delta': -2.0}]",3
4295,72.20300903957815,0.9999996952433182,6.516046763714257,0.9999997968288789,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -1.9999996}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
4296,167.0839816254265,0.9993443304697781,3.1833149980689828,0.999562886979852,"[{'omega': -1.9999996, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -1.7640859}]",5
4297,156.1552467288391,0.10862716347293393,0.04994060462963971,0.40575144231528926,"[{'omega': 1.9969735, 'delta': -2.0}, {'omega': 1.9997199, 'delta': 1.9174535}, {'omega': 1.9999496, 'delta': 1.9834086}, {'omega': -1.8332427, 'delta': -1.9999727}, {'omega': 1.9803313, 'delta': 1.9984173}, {'omega': -1.9996991, 'delta': -2.0}, {'omega': 1.9999926, 'delta': -1.125808}, {'omega': -2.0, 'delta': 1.7176368}]",8
4298,113.63804225733854,0.6548234964541212,0.4619587747403495,0.7698823309694142,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",3
4299,123.30200672094327,0.9813851992120944,1.7301416071585238,0.9875901328080628,"[{'omega': -1.8582948, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -0.88420665}]",5
4300,246.04364329615564,0.999999699689938,6.522430116301382,0.9999997997932919,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -1.99995, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -1.999998}]",5
4301,146.24541370419195,0.6585733316161813,0.46670255973095914,0.7723822210774541,"[{'omega': -2.0, 'delta': -1.9999996}, {'omega': 1.9461124, 'delta': -2.0}, {'omega': -2.0, 'delta': 1.9999986}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
4302,157.68562889050247,0.38143440128331974,0.20861423677861668,0.5876229341888798,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -0.5286789}, {'omega': -2.0, 'delta': 1.9999981}, {'omega': 1.9997844, 'delta': -2.0}, {'omega': -0.3950415, 'delta': 1.9868661}, {'omega': 1.9979703, 'delta': 1.9999491}]",8
4303,157.55704122524537,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
4304,113.79671936614898,0.6548234964541212,0.4619587747403495,0.7698823309694142,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",3
4305,175.87541381869022,0.999999695232978,6.5160320286674684,0.9999997968219855,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -1.9999998}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
4306,166.36775758802074,0.9999996952329783,6.516032028983883,0.9999997968219855,"[{'omega': -2.0, 'delta': -1.9999999}, {'omega': -2.0, 'delta': -2.0}, {'omega': -1.9999999, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
4307,87.86945369445995,0.46124632827606976,0.26860975700938705,0.6408308855173798,"[{'omega': -1.9999999, 'delta': -1.9999568}, {'omega': -1.9999592, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': 1.8711389}, {'omega': -1.9640772, 'delta': 1.8165598}]",5
4308,135.44643157385866,0.9999998294164312,6.768062803836125,0.9999998862776208,"[{'omega': -1.999998, 'delta': -2.0}, {'omega': -1.9978795, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -1.9999073}]",5
4309,191.3611610041655,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
4310,122.80880452513804,0.5342735767931016,0.33186912146728714,0.6895157178620677,"[{'omega': -1.999999, 'delta': -2.0}, {'omega': 1.6119474, 'delta': -2.0}, {'omega': -1.9999866, 'delta': -2.0}, {'omega': 1.7705339, 'delta': -1.8140271}, {'omega': -1.7988019, 'delta': -1.9999899}]",5
4311,168.8649941768447,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
4312,175.00325431092935,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
4313,210.48275120451433,0.9999996952433189,6.516046764663534,0.9999997968288792,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -1.9999996}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
4314,177.71386119271668,0.6548234964541212,0.4619587747403495,0.7698823309694142,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",3
4315,169.18025786885238,0.9999996955120528,6.516429893746473,0.9999997970080351,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -1.9999965}, {'omega': -2.0, 'delta': -2.0}]",5
4316,173.33989188217663,0.9999996952433182,6.516046763714257,0.9999997968288789,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -1.9999996}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
4317,182.63272517134766,0.6548228641532058,0.461957979192147,0.7698819094354704,"[{'omega': -1.9999996, 'delta': -2.0}, {'omega': -1.9999954, 'delta': -1.9999995}, {'omega': -2.0, 'delta': -1.999997}]",3
4318,163.61003930437755,0.9999997116312683,6.540051832714175,0.999999807754179,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -1.9999995}, {'omega': -2.0, 'delta': -2.0}, {'omega': -1.9998059, 'delta': -2.0}]",5
4319,207.1560713490868,0.9999996952639988,6.5160762356241895,0.9999997968426658,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -1.9999994, 'delta': -2.0}]",5
4320,227.1660634617167,0.9999997554856376,6.611695625954075,0.9999998369904249,"[{'omega': -2.0, 'delta': -1.9993036}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -1.999928}, {'omega': -2.0, 'delta': -2.0}]",5
4321,63.013487095765974,0.8085670748963528,0.717983364568162,0.8723780499309018,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -1.9999999, 'delta': -1.2762722}, {'omega': 1.9999993, 'delta': -1.9984263}]",5
